date1,coin,kraken_price,kucoin_price,price_bitmex,price_bitrex,price_gemini
2022-08-17 05:00:00,BTC,24162.1,23786.2,23843.88,23953.723,24131.0
2022-08-17 06:00:00,BTC,24414.0,23807.4,23790.59,24001.104,24134.5
2022-08-17 07:00:00,BTC,23800.0,23832.3,23750.07,24004.368,24333.0
2022-08-17 08:00:00,BTC,23811.5,23795.1,23692.4,24076.379,24332.5
2022-08-17 09:00:00,BTC,23837.2,23745.7,23434.7,24170.751,24332.5
2022-08-17 10:00:00,BTC,23790.0,23671.4,23341.64,24422.274,24332.0
2022-08-17 11:00:00,BTC,23753.1,23427.3,23396.67,23808.711,24333.0
2022-08-17 12:00:00,BTC,23683.3,23348.8,23420.31,23810.131,23990.0
2022-08-17 13:00:00,BTC,23438.5,23392.6,23471.61,23835.849,23955.0
2022-08-17 14:00:00,BTC,23334.7,23415.9,23459.77,23799.809,23979.0
2022-08-17 15:00:00,BTC,23388.5,23469.8,23275.19,23749.561,23997.0
2022-08-17 16:00:00,BTC,23420.2,23446.9,23405.7,23693.175,23880.0
2022-08-17 17:00:00,BTC,23477.9,23275.7,23326.96,23434.656,23664.0
2022-08-17 18:00:00,BTC,23451.2,23399.4,23345.63,23344.004,23427.5
2022-08-17 19:00:00,BTC,23278.9,23330.4,23349.04,23396.247,23355.0
2022-08-17 20:00:00,BTC,23407.9,23343.5,23460.86,23422.974,23362.0
2022-08-17 21:00:00,BTC,23337.7,23336.0,23481.18,23471.499,23457.0
2022-08-17 22:00:00,BTC,23350.1,23453.5,23469.66,23457.908,23517.5
2022-08-17 23:00:00,BTC,23336.2,23470.2,23442.4,23288.325,23507.5
2022-08-18 00:00:00,BTC,23445.5,23459.9,23390.52,23407.254,23257.5
2022-08-18 01:00:00,BTC,23481.2,23431.0,23402.2,23327.035,23457.5
2022-08-18 02:00:00,BTC,23466.8,23376.4,23364.33,23340.185,23373.0
2022-08-18 03:00:00,BTC,23437.7,23390.7,23416.96,23348.548,23457.5
2022-08-18 04:00:00,BTC,23381.1,23352.0,23470.42,23462.765,23358.5
2022-08-18 05:00:00,BTC,23401.3,23410.2,23533.71,23481.367,23436.5
2022-08-18 06:00:00,BTC,23369.8,23460.7,23488.17,23468.361,23415.0
2022-08-18 07:00:00,BTC,23411.0,23531.8,23533.21,23425.277,23465.0
